                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4432,                 2.4123,                 1.9639,                0.79284,                0.48211,                 0.5845,                0.34215,                 1.1498,                  2.748,                 1.9721,                0.00014,                0.00014,                0.00014
                      2,                0.98994,                 1.5638,                 1.4493,                0.67546,                  0.875,                0.72383,                0.57894,                0.76055,                 2.7061,                 1.3314,             0.00029703,             0.00029703,             0.00029703
                      3,                 1.0899,                 1.7875,                  1.575,                0.06763,                   0.75,                0.19264,                0.13269,                 1.2041,                 17.383,                 1.8255,             0.00045089,             0.00045089,             0.00045089
                      4,                 1.1013,                 1.9304,                 1.5319,                0.33213,                  0.625,                0.62909,                0.39681,                 1.5239,                 6.0027,                 1.9237,             0.00060159,             0.00060159,             0.00060159
                      5,                0.98807,                 1.8983,                   1.45,                0.49692,                0.86498,                0.74111,                0.41891,                 1.5154,                 5.9091,                 2.3576,             0.00074911,             0.00074911,             0.00074911
                      6,                 1.2313,                 2.2308,                 1.6321,                0.04339,                  0.875,                  0.686,                0.56856,                 1.0809,                  56.69,                 1.6996,             0.00089347,             0.00089347,             0.00089347
                      7,                 1.4167,                 2.0499,                 1.7576,                 0.2451,                   0.75,                0.65039,                0.37095,                 1.5699,                 20.281,                 2.3724,              0.0010347,              0.0010347,              0.0010347
                      8,                 1.3922,                 2.2222,                 1.8023,                    0.5,                  0.375,                 0.4329,                 0.2186,                 1.9341,                 40.698,                 2.9497,              0.0011727,              0.0011727,              0.0011727
                      9,                 1.4737,                 2.2324,                 1.8543,                0.03242,                   0.75,                0.03141,                 0.0133,                 2.2788,                 295.02,                 6.4072,              0.0013075,              0.0013075,              0.0013075
                     10,                 1.7435,                 2.1647,                 1.9247,                0.03242,                   0.75,                0.03141,                 0.0133,                 2.2788,                 295.02,                 6.4072,              0.0014392,              0.0014392,              0.0014392
                     11,                 1.6928,                  2.206,                 2.0152,                0.03059,                    0.5,                 0.0193,                0.00487,                 3.4295,                 34.493,                 9.0412,              0.0015677,              0.0015677,              0.0015677
                     12,                 1.8933,                  2.089,                 2.1326,                0.03059,                    0.5,                 0.0193,                0.00487,                 3.4295,                 34.493,                 9.0412,              0.0016931,              0.0016931,              0.0016931
                     13,                 1.7801,                 1.9865,                 2.1446,                0.08763,                  0.625,                0.08504,                0.02504,                 2.6713,                  27.94,                 3.4107,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.8216,                 2.1302,                 2.1046,                0.08763,                  0.625,                0.08504,                0.02504,                 2.6713,                  27.94,                 3.4107,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.9214,                 2.0019,                 2.1353,                0.00912,                  0.375,                 0.0064,                0.00187,                 4.0921,                 2493.7,                  201.7,              0.0017426,              0.0017426,              0.0017426
                     16,                  1.667,                  1.888,                  1.914,                0.00912,                  0.375,                 0.0064,                0.00187,                 4.0921,                 2493.7,                  201.7,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.7997,                 1.9729,                 2.1113,                0.23874,                    0.5,                 0.3799,                0.04963,                 3.5904,                 15.764,                 7.9725,               0.001703,               0.001703,               0.001703
                     18,                 1.7145,                 1.9189,                 1.9363,                0.23874,                    0.5,                 0.3799,                0.04963,                 3.5904,                 15.764,                 7.9725,              0.0016832,              0.0016832,              0.0016832
                     19,                  1.737,                 1.9948,                 2.0578,                 0.1086,                   0.25,                0.03301,                0.00851,                 3.3017,                 6.9234,                 4.0417,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.9296,                 1.9143,                 2.2863,                 0.1086,                   0.25,                0.03301,                0.00851,                 3.3017,                 6.9234,                 4.0417,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.8247,                 1.9432,                 2.1711,                0.02489,                      1,                 0.0318,                0.01169,                 2.8577,                 210.75,                 6.5094,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.7129,                 1.9033,                 2.0076,                0.02489,                      1,                 0.0318,                0.01169,                 2.8577,                 210.75,                 6.5094,               0.001604,               0.001604,               0.001604
                     23,                 1.6931,                 1.8406,                 2.0516,                0.03846,                   0.25,                0.03214,                0.01539,                 2.5921,                  203.6,                 9.4659,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.8059,                 2.0105,                 2.0463,                0.03846,                   0.25,                0.03214,                0.01539,                 2.5921,                  203.6,                 9.4659,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.6975,                 1.9227,                 2.0496,                0.04348,                   0.75,                0.05257,                0.03037,                 3.7129,                 600.32,                 38.017,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.6869,                 1.7375,                 1.9058,                0.04348,                   0.75,                0.05257,                0.03037,                 3.7129,                 600.32,                 38.017,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.6731,                 1.8029,                 1.9247,                0.04065,                  0.625,                0.05119,                0.01431,                 3.2664,                 441.53,                 15.621,               0.001505,               0.001505,               0.001505
                     28,                 1.9153,                 1.8489,                 2.1692,                0.04065,                  0.625,                0.05119,                0.01431,                 3.2664,                 441.53,                 15.621,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.7869,                 1.7124,                 1.9616,                0.04762,                  0.125,                0.04543,                0.01854,                 2.0691,                 36.212,                 4.2017,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.5091,                 1.4931,                 1.7738,                0.04762,                  0.125,                0.04543,                0.01854,                 2.0691,                 36.212,                 4.2017,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.5087,                 1.6182,                 1.8256,                0.24258,                  0.125,                0.10079,                0.04783,                 2.0819,                  5.832,                 2.5041,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.6796,                 1.8611,                 1.9348,                0.24258,                  0.125,                0.10079,                0.04783,                 2.0819,                  5.832,                 2.5041,               0.001406,               0.001406,               0.001406
                     33,                 1.6161,                 1.6101,                 1.8038,                0.03601,                   0.25,                0.01673,                0.00673,                 2.6785,                 15.032,                 2.8698,              0.0013862,              0.0013862,              0.0013862
                     34,                  1.711,                 1.6611,                 1.8498,                0.03601,                   0.25,                0.01673,                0.00673,                 2.6785,                 15.032,                 2.8698,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.6829,                 1.6314,                 1.8757,                0.00132,                  0.125,                 0.0004,                0.00012,                 4.6375,                 28.617,                 4.8542,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.6048,                 1.6589,                  1.907,                0.00132,                  0.125,                 0.0004,                0.00012,                 4.6375,                 28.617,                 4.8542,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.5382,                 1.6004,                 1.7946,                0.00132,                  0.125,                 0.0004,                0.00012,                 5.1909,                 17.755,                 5.4375,               0.001307,               0.001307,               0.001307
                     38,                 1.5617,                 1.5887,                 1.8037,                0.00132,                  0.125,                 0.0004,                0.00012,                 5.1909,                 17.755,                 5.4375,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.6359,                 1.5068,                 1.7378,                0.00132,                  0.125,                 0.0004,                0.00012,                 5.2189,                 17.882,                 5.2856,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.5197,                 1.3798,                 1.7757,                0.00132,                  0.125,                 0.0004,                0.00012,                 5.2189,                 17.882,                 5.2856,              0.0012476,              0.0012476,              0.0012476
