Image,x1,y1,x2,y2
61055990_PHO_210115102717_36037262_BE578ZW_47242223,0.356250,0.419167,0.520000,"0.761667
"
61098159_PHO_210621114136_36675117_DS228RZ_488599412,0.407500,0.409167,0.440000,"0.721667
"
61113096_PHO_210906112642_37013023_BR381KB_496293520,0.386068,0.433594,0.579427,"0.636719
"
61634454_PHO_210614153649_36641416_CW488EY_48781857,0.366250,0.405000,0.520000,"0.676667
"
61635037_PHO_210617165130_36663833_EC496EA_488359414,0.458125,0.401667,0.653750,"0.800000
"
61637276_PHO_210705070511_36747110_FB170MK_490197018,0.570000,0.441667,0.627500,"0.730000
"
61638565_PHO_210719090259_36806831_CT701HG_491640312,0.391250,0.346667,0.617500,"0.690000
"
61865076_PHO_210521163156_36539817_FT857VF_485319017,0.254375,0.310833,0.506250,"0.618333
"
61865102_PHO_210531182130_36574497_FW453LE_486177017,0.513750,0.378333,0.667500,"0.753333
"
61876904_PHO_210723090635_36832542_CP966ZT_492277515,0.289375,0.338333,0.576250,"0.673333
"
62474067_PHO_210504101605_6105-851839482_DM-867-AT_fc2d6d93-f243-4825-8974-a52d520718c2,0.747830,0.392361,0.492188,"0.761574
"
62489478_PHO_210706183211_36758355_EZ044ZM_490533616,0.261250,0.540833,0.397500,"0.678333
"
62490594_PHO_210709111201_36774055_CJ431ZX_49090029,0.474375,0.434891,0.728750,"0.866444
"
97705979_PHO_210514093024_36508533_AP832PZ_484531714,0.540000,0.352500,0.565000,"0.695000
"
97725165_PHO_210525084056_36544016_BY775AY_485388016,0.619375,0.476705,0.538750,"0.790349
"
97735324_PHO_210604160140_36599821_FM948RX_486806814,0.483125,0.406667,0.643750,"0.810000
"
97764167_PHO_210902093553_855952396_BA-252-ZK_1519418571,0.528125,0.391667,0.600000,"0.770833
"
97765851_PHO_210607182606_36607799_EP334KJ_487004317,0.273125,0.372500,0.411250,"0.741667
"
97799703_PHO_210618165614_36670045_CQ832JQ_488507523,0.603125,0.475833,0.541250,"0.948333
"
97811283_PHO_210623115134_36692579_DA949HS_488959322,0.358750,0.477500,0.715000,"0.951667
"
97812626_PHO_210623154633_36694497_EH576YB_489012614,0.287500,0.555833,0.520000,"0.748333
"
97832249_PHO_210630154638_36730557_EB290ZZ_489823217,0.425625,0.362500,0.696250,"0.721667
"
97841320_PHO_210705102243_36747954_EM015AR_490227532,0.543125,0.439167,0.583750,"0.791667
"
97876528_PHO_210720103634_36814849_AA955GB_491846213,0.588750,0.596667,0.532500,"0.693333
"
97879349_PHO_210726175203_36843020_CY722YJ_492528011,0.652500,0.416667,0.645000,"0.790000
"
97884723_PHO_210902152219_37001443_FR515HG_496018114,0.354687,0.371296,0.442708,"0.735185
"
97893635_PHO_210803163105_36879513_AD035EQ_493362818,0.205469,0.367708,0.407813,"0.731250
"
97903315_PHO_210811142531_36911437_CR370CM_49398948,0.283750,0.358333,0.382500,"0.586667
"
97913027_PHO_210812103537_36914731_DD643XS_494052612,0.403750,0.413333,0.377500,"0.693333
"
97935394_PHO_210816080101_36923650_EL551CA_494206117,0.298125,0.398333,0.593750,"0.793333
"
97951000_PHO_210823152717_36951712_CF639WH_494772513,0.330000,0.472500,0.597500,"0.731667
"
97965206_PHO_210830111603_36979188_CV608BS_495441011,0.539062,0.371875,0.440625,"0.547917
"
